,statement,test_list,guiding_assertion,fname
0,Write a function to find the shared elements from the given two lists.,"['assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))', 'assert set(similar_elements((1, 2, 3, 4),(5, 4, 3, 7))) == set((3, 4))', 'assert set(similar_elements((11, 12, 14, 13),(17, 15, 14, 13))) == set((13, 14))']","assert set(similar_elements((3, 4, 5, 6),(5, 7, 4, 10))) == set((4, 5))",similar_elements
1,Write a python function to identify non-prime numbers.,"['assert is_not_prime(2) == False', 'assert is_not_prime(10) == True', 'assert is_not_prime(35) == True', 'assert is_not_prime(37) == False']",assert is_not_prime(2) == False,is_not_prime
2,"Write a function to find the n largest integers from a given list of numbers, returned in descending order.","['assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]', 'assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],2)==[85, 75]', 'assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],5)==[85, 75, 65, 58, 35]']","assert heap_queue_largest( [25, 35, 22, 85, 14, 65, 75, 22, 58],3)==[85, 75, 65]",heap_queue_largest
3,Write a python function to check whether the two numbers differ at one bit position only or not.,"['assert differ_At_One_Bit_Pos(13,9) == True', 'assert differ_At_One_Bit_Pos(15,8) == False', 'assert differ_At_One_Bit_Pos(2,4) == False', 'assert differ_At_One_Bit_Pos(2, 3) == True', 'assert differ_At_One_Bit_Pos(5, 1) == True', 'assert differ_At_One_Bit_Pos(1, 5) == True']","assert differ_At_One_Bit_Pos(13,9) == True",differ_At_One_Bit_Pos
4,Write a function to find all words which are at least 4 characters long in a string.,"[""assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])"", ""assert set(find_char_long('Jing Eco and Tech')) == set(['Jing', 'Tech'])"", ""assert set(find_char_long('Jhingai wulu road Zone 3')) == set(['Jhingai', 'wulu', 'road', 'Zone'])""]","assert set(find_char_long('Please move back to stream')) == set(['Please', 'move', 'back', 'stream'])",find_char_long
5,Write a function to find squares of individual elements in a list.,"['assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]', 'assert square_nums([10,20,30])==([100,400,900])', 'assert square_nums([12,15])==([144,225])']","assert square_nums([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[1, 4, 9, 16, 25, 36, 49, 64, 81, 100]",square_nums
6,Write a python function to find the minimum number of rotations (greater than 0) required to get the same string.,"['assert find_Rotations(""aaaa"") == 1', 'assert find_Rotations(""ab"") == 2', 'assert find_Rotations(""abc"") == 3']","assert find_Rotations(""aaaa"") == 1",find_Rotations
7,Write a python function to remove first and last occurrence of a given character from the string.,"['assert remove_Occ(""hello"",""l"") == ""heo""', 'assert remove_Occ(""abcda"",""a"") == ""bcd""', 'assert remove_Occ(""PHP"",""P"") == ""H""']","assert remove_Occ(""hello"",""l"") == ""heo""",remove_Occ
8,Write a function to sort a given matrix in ascending order according to the sum of its rows.,"['assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]', 'assert sort_matrix([[1, 2, 3], [-2, 4, -5], [1, -1, 1]])==[[-2, 4, -5], [1, -1, 1], [1, 2, 3]]', 'assert sort_matrix([[5,8,9],[6,4,3],[2,1,4]])==[[2, 1, 4], [6, 4, 3], [5, 8, 9]]']","assert sort_matrix([[1, 2, 3], [2, 4, 5], [1, 1, 1]])==[[1, 1, 1], [1, 2, 3], [2, 4, 5]]",sort_matrix
9,Write a python function to find the volume of a triangular prism.,"['assert find_Volume(10,8,6) == 240', 'assert find_Volume(3,2,2) == 6', 'assert find_Volume(1,2,1) == 1']","assert find_Volume(10,8,6) == 240",find_Volume
